"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 22 06:43:24 GMT 2022","Wed Jun 22 06:43:24 GMT 2022","582","chromium","example.spec.ts","New Todo","","","should clear text input field when an item is added",""
"passed","Wed Jun 22 06:43:33 GMT 2022","Wed Jun 22 06:43:34 GMT 2022","548","chromium","example.spec.ts","Clear completed button","","","should display the correct text",""
"passed","Wed Jun 22 06:43:25 GMT 2022","Wed Jun 22 06:43:26 GMT 2022","662","chromium","example.spec.ts","Mark all as completed","","","should allow me to mark all items as completed",""
"passed","Wed Jun 22 06:43:25 GMT 2022","Wed Jun 22 06:43:25 GMT 2022","575","chromium","example.spec.ts","New Todo","","","should show #main and #footer when items added",""
"passed","Wed Jun 22 06:43:38 GMT 2022","Wed Jun 22 06:43:39 GMT 2022","609","chromium","example.spec.ts","Routing","","","should highlight the currently applied filter",""
"passed","Wed Jun 22 06:43:29 GMT 2022","Wed Jun 22 06:43:30 GMT 2022","580","chromium","example.spec.ts","Editing","","","should hide other controls when editing",""
"passed","Wed Jun 22 06:43:32 GMT 2022","Wed Jun 22 06:43:32 GMT 2022","560","chromium","example.spec.ts","Editing","","","should cancel edits on escape",""
"passed","Wed Jun 22 06:43:23 GMT 2022","Wed Jun 22 06:43:24 GMT 2022","1095","chromium","example.spec.ts","New Todo","","","should allow me to add todo items",""
"passed","Wed Jun 22 06:43:32 GMT 2022","Wed Jun 22 06:43:33 GMT 2022","735","chromium","example.spec.ts","Counter","","","should display the current number of todo items",""
"passed","Wed Jun 22 06:43:26 GMT 2022","Wed Jun 22 06:43:27 GMT 2022","668","chromium","example.spec.ts","Mark all as completed","","","should allow me to clear the complete state of all items",""
"passed","Wed Jun 22 06:43:31 GMT 2022","Wed Jun 22 06:43:32 GMT 2022","696","chromium","example.spec.ts","Editing","","","should remove the item if an empty text string was entered",""
"passed","Wed Jun 22 06:43:36 GMT 2022","Wed Jun 22 06:43:37 GMT 2022","699","chromium","example.spec.ts","Routing","","","should respect the back button",""
"passed","Wed Jun 22 06:43:35 GMT 2022","Wed Jun 22 06:43:36 GMT 2022","593","chromium","example.spec.ts","Routing","","","should allow me to display active items",""
"passed","Wed Jun 22 06:43:28 GMT 2022","Wed Jun 22 06:43:29 GMT 2022","595","chromium","example.spec.ts","Item","","","should allow me to un-mark items as complete",""
"passed","Wed Jun 22 06:43:29 GMT 2022","Wed Jun 22 06:43:29 GMT 2022","686","chromium","example.spec.ts","Item","","","should allow me to edit an item",""
"passed","Wed Jun 22 06:43:37 GMT 2022","Wed Jun 22 06:43:37 GMT 2022","568","chromium","example.spec.ts","Routing","","","should allow me to display completed items",""
"passed","Wed Jun 22 06:43:27 GMT 2022","Wed Jun 22 06:43:27 GMT 2022","724","chromium","example.spec.ts","Mark all as completed","","","complete all checkbox should update state when items are completed / cleared",""
"passed","Wed Jun 22 06:43:24 GMT 2022","Wed Jun 22 06:43:25 GMT 2022","628","chromium","example.spec.ts","New Todo","","","should append new items to the bottom of the list",""
"passed","Wed Jun 22 06:43:37 GMT 2022","Wed Jun 22 06:43:38 GMT 2022","680","chromium","example.spec.ts","Routing","","","should allow me to display all items",""
"passed","Wed Jun 22 06:43:35 GMT 2022","Wed Jun 22 06:43:35 GMT 2022","599","chromium","example.spec.ts","Persistence","","","should persist its data",""
"passed","Wed Jun 22 06:43:27 GMT 2022","Wed Jun 22 06:43:28 GMT 2022","589","chromium","example.spec.ts","Item","","","should allow me to mark items as complete",""
"passed","Wed Jun 22 06:43:30 GMT 2022","Wed Jun 22 06:43:31 GMT 2022","598","chromium","example.spec.ts","Editing","","","should save edits on blur",""
"passed","Wed Jun 22 06:43:31 GMT 2022","Wed Jun 22 06:43:31 GMT 2022","567","chromium","example.spec.ts","Editing","","","should trim entered text",""
"passed","Wed Jun 22 06:43:34 GMT 2022","Wed Jun 22 06:43:35 GMT 2022","575","chromium","example.spec.ts","Clear completed button","","","should be hidden when there are no items that are completed",""
"passed","Wed Jun 22 06:43:34 GMT 2022","Wed Jun 22 06:43:34 GMT 2022","637","chromium","example.spec.ts","Clear completed button","","","should remove completed items when clicked",""
