"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 22 07:07:28 GMT 2022","Wed Jun 22 07:07:28 GMT 2022","659","chromium","example.spec.ts","Counter","","","should display the current number of todo items",""
"passed","Wed Jun 22 07:07:33 GMT 2022","Wed Jun 22 07:07:34 GMT 2022","780","chromium","example.spec.ts","Routing","","","should allow me to display all items",""
"passed","Wed Jun 22 07:07:21 GMT 2022","Wed Jun 22 07:07:21 GMT 2022","653","chromium","example.spec.ts","Mark all as completed","","","should allow me to mark all items as completed",""
"passed","Wed Jun 22 07:07:28 GMT 2022","Wed Jun 22 07:07:29 GMT 2022","573","chromium","example.spec.ts","Clear completed button","","","should display the correct text",""
"passed","Wed Jun 22 07:07:27 GMT 2022","Wed Jun 22 07:07:28 GMT 2022","648","chromium","example.spec.ts","Editing","","","should cancel edits on escape",""
"passed","Wed Jun 22 07:07:26 GMT 2022","Wed Jun 22 07:07:27 GMT 2022","646","chromium","example.spec.ts","Editing","","","should trim entered text",""
"passed","Wed Jun 22 07:07:20 GMT 2022","Wed Jun 22 07:07:20 GMT 2022","549","chromium","example.spec.ts","New Todo","","","should append new items to the bottom of the list",""
"passed","Wed Jun 22 07:07:24 GMT 2022","Wed Jun 22 07:07:25 GMT 2022","643","chromium","example.spec.ts","Item","","","should allow me to edit an item",""
"passed","Wed Jun 22 07:07:30 GMT 2022","Wed Jun 22 07:07:30 GMT 2022","601","chromium","example.spec.ts","Clear completed button","","","should be hidden when there are no items that are completed",""
"passed","Wed Jun 22 07:07:34 GMT 2022","Wed Jun 22 07:07:34 GMT 2022","644","chromium","example.spec.ts","Routing","","","should highlight the currently applied filter",""
"passed","Wed Jun 22 07:07:18 GMT 2022","Wed Jun 22 07:07:19 GMT 2022","1234","chromium","example.spec.ts","New Todo","","","should allow me to add todo items",""
"passed","Wed Jun 22 07:07:25 GMT 2022","Wed Jun 22 07:07:25 GMT 2022","581","chromium","example.spec.ts","Editing","","","should hide other controls when editing",""
"passed","Wed Jun 22 07:07:22 GMT 2022","Wed Jun 22 07:07:23 GMT 2022","740","chromium","example.spec.ts","Mark all as completed","","","complete all checkbox should update state when items are completed / cleared",""
"passed","Wed Jun 22 07:07:20 GMT 2022","Wed Jun 22 07:07:21 GMT 2022","678","chromium","example.spec.ts","New Todo","","","should show #main and #footer when items added",""
"passed","Wed Jun 22 07:07:21 GMT 2022","Wed Jun 22 07:07:22 GMT 2022","611","chromium","example.spec.ts","Mark all as completed","","","should allow me to clear the complete state of all items",""
"passed","Wed Jun 22 07:07:27 GMT 2022","Wed Jun 22 07:07:27 GMT 2022","589","chromium","example.spec.ts","Editing","","","should remove the item if an empty text string was entered",""
"passed","Wed Jun 22 07:07:19 GMT 2022","Wed Jun 22 07:07:20 GMT 2022","658","chromium","example.spec.ts","New Todo","","","should clear text input field when an item is added",""
"passed","Wed Jun 22 07:07:32 GMT 2022","Wed Jun 22 07:07:32 GMT 2022","732","chromium","example.spec.ts","Routing","","","should respect the back button",""
"passed","Wed Jun 22 07:07:23 GMT 2022","Wed Jun 22 07:07:23 GMT 2022","604","chromium","example.spec.ts","Item","","","should allow me to mark items as complete",""
"passed","Wed Jun 22 07:07:30 GMT 2022","Wed Jun 22 07:07:31 GMT 2022","610","chromium","example.spec.ts","Persistence","","","should persist its data",""
"passed","Wed Jun 22 07:07:25 GMT 2022","Wed Jun 22 07:07:26 GMT 2022","585","chromium","example.spec.ts","Editing","","","should save edits on blur",""
"passed","Wed Jun 22 07:07:31 GMT 2022","Wed Jun 22 07:07:31 GMT 2022","633","chromium","example.spec.ts","Routing","","","should allow me to display active items",""
"passed","Wed Jun 22 07:07:23 GMT 2022","Wed Jun 22 07:07:24 GMT 2022","669","chromium","example.spec.ts","Item","","","should allow me to un-mark items as complete",""
"passed","Wed Jun 22 07:07:32 GMT 2022","Wed Jun 22 07:07:33 GMT 2022","620","chromium","example.spec.ts","Routing","","","should allow me to display completed items",""
"passed","Wed Jun 22 07:07:29 GMT 2022","Wed Jun 22 07:07:30 GMT 2022","625","chromium","example.spec.ts","Clear completed button","","","should remove completed items when clicked",""
